ProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderLineNumber,SalesAmount
381,20210101,20210113,20210108,16942,1,1000.4375
375,20210101,20210113,20210108,15114,1,2181.5625
369,20210101,20210113,20210108,15116,1,2443.35
337,20210101,20210113,20210108,20576,1,782.99
370,20210101,20210113,20210108,13059,1,2443.35
370,20210101,20210113,20210108,13085,1,2443.35
352,20210101,20210113,20210108,20186,1,2071.4196
337,20210101,20210113,20210108,15199,1,782.99
377,20210101,20210113,20210108,21200,1,2181.5625
387,20210102,20210114,20210109,19172,1,1000.4375
356,20210102,20210114,20210109,11484,1,2071.4196
369,20210102,20210114,20210109,13592,1,2443.35
373,20210102,20210114,20210109,13779,1,2181.5625
371,20210102,20210114,20210109,24778,1,2181.5625
368,20210102,20210114,20210109,13093,1,2443.35
375,20210102,20210114,20210109,24976,1,2181.5625
375,20210102,20210114,20210109,25046,1,2181.5625
368,20210102,20210114,20210109,25048,1,2443.35
360,20210102,20210114,20210109,12570,1,2049.0982
362,20210103,20210115,20210110,11604,1,2049.0982
371,20210103,20210115,20210110,13667,1,2181.5625
370,20210103,20210115,20210110,16046,1,2443.35
385,20210103,20210115,20210110,17095,1,1000.4375
368,20210103,20210115,20210110,12918,1,2443.35
368,20210103,20210115,20210110,28663,1,2443.35
369,20210103,20210115,20210110,21191,1,2443.35
373,20210103,20210115,20210110,20999,1,2181.5625
370,20210103,20210115,20210110,21002,1,2443.35
358,20210103,20210115,20210110,12354,1,2049.0982
321,20210103,20210115,20210110,26019,1,782.99
379,20210104,20210116,20210111,15100,1,2181.5625
371,20210104,20210116,20210111,15101,1,2181.5625
385,20210104,20210116,20210111,13992,1,1000.4375
375,20210104,20210116,20210111,24781,1,2181.5625
375,20210104,20210116,20210111,13060,1,2181.5625
371,20210104,20210116,20210111,13226,1,2181.5625
360,20210104,20210116,20210111,12341,1,2049.0982
354,20210104,20210116,20210111,12346,1,2071.4196
362,20210104,20210116,20210111,12576,1,2049.0982
373,20210105,20210117,20210112,15699,1,2181.5625
379,20210105,20210117,20210112,12980,1,2181.5625
370,20210105,20210117,20210112,28766,1,2443.35
358,20210105,20210117,20210112,20206,1,2049.0982
373,20210105,20210117,20210112,21183,1,2181.5625
370,20210105,20210117,20210112,21199,1,2443.35
369,20210106,20210118,20210113,13056,1,2443.35
368,20210106,20210118,20210113,13057,1,2443.35
360,20210106,20210118,20210113,26127,1,2049.0982
360,20210106,20210118,20210113,26252,1,2049.0982
354,20210106,20210118,20210113,12350,1,2071.4196
377,20210107,20210119,20210114,16054,1,2181.5625
377,20210107,20210119,20210114,12934,1,2181.5625
343,20210107,20210119,20210114,19931,1,782.99
379,20210107,20210119,20210114,21215,1,2181.5625
321,20210107,20210119,20210114,25958,1,782.99
343,20210107,20210119,20210114,26023,1,782.99
383,20210107,20210119,20210114,13993,1,1000.4375
354,20210108,20210120,20210115,26174,1,2071.4196
387,20210108,20210120,20210115,18130,1,1000.4375
373,20210108,20210120,20210115,16033,1,2181.5625
387,20210108,20210120,20210115,13986,1,1000.4375
325,20210108,20210120,20210115,19924,1,782.99
368,20210108,20210120,20210115,13063,1,2443.35
375,20210108,20210120,20210115,13202,1,2181.5625
360,20210108,20210120,20210115,26238,1,2049.0982
333,20210108,20210120,20210115,15191,1,782.99
369,20210108,20210120,20210115,21216,1,2443.35
362,20210108,20210120,20210115,12573,1,2049.0982
339,20210108,20210120,20210115,26020,1,782.99
377,20210109,20210121,20210116,15702,1,2181.5625
370,20210109,20210121,20210116,15357,1,2443.35
377,20210109,20210121,20210116,13068,1,2181.5625
375,20210109,20210121,20210116,13161,1,2181.5625
371,20210109,20210121,20210116,13173,1,2181.5625
375,20210109,20210121,20210116,13225,1,2181.5625
352,20210109,20210121,20210116,26249,1,2071.4196
360,20210109,20210121,20210116,12356,1,2049.0982
356,20210110,20210122,20210117,11568,1,2071.4196
352,20210110,20210122,20210117,11610,1,2071.4196
377,20210110,20210122,20210117,15929,1,2181.5625
379,20210110,20210122,20210117,12942,1,2181.5625
379,20210110,20210122,20210117,12949,1,2181.5625
371,20210110,20210122,20210117,12975,1,2181.5625
337,20210110,20210122,20210117,19069,1,782.99
375,20210110,20210122,20210117,13178,1,2181.5625
373,20210110,20210122,20210117,13190,1,2181.5625
354,20210110,20210122,20210117,26201,1,2071.4196
333,20210110,20210122,20210117,15195,1,782.99
358,20210110,20210122,20210117,12342,1,2049.0982
358,20210111,20210123,20210118,28506,1,2049.0982
379,20210111,20210123,20210118,12930,1,2181.5625
369,20210111,20210123,20210118,13016,1,2443.35
373,20210111,20210123,20210118,13083,1,2181.5625
375,20210111,20210123,20210118,13214,1,2181.5625
373,20210111,20210123,20210118,24977,1,2181.5625
362,20210111,20210123,20210118,26234,1,2049.0982
360,20210111,20210123,20210118,26247,1,2049.0982
371,20210111,20210123,20210118,21197,1,2181.5625
368,20210111,20210123,20210118,21201,1,2443.35
371,20210112,20210124,20210119,13662,1,2181.5625
370,20210112,20210124,20210119,13019,1,2443.35
368,20210112,20210124,20210119,25094,1,2443.35
337,20210112,20210124,20210119,15188,1,782.99
379,20210113,20210125,20210120,13595,1,2181.5625
323,20210113,20210125,20210120,19052,1,782.99
373,20210113,20210125,20210120,13055,1,2181.5625
370,20210113,20210125,20210120,21195,1,2443.35
354,20210113,20210125,20210120,12339,1,2071.4196
360,20210113,20210125,20210120,12347,1,2049.0982
371,20210114,20210126,20210121,13766,1,2181.5625
370,20210114,20210126,20210121,15622,1,2443.35
369,20210114,20210126,20210121,12941,1,2443.35
371,20210114,20210126,20210121,13069,1,2181.5625
379,20210114,20210126,20210121,13152,1,2181.5625
371,20210114,20210126,20210121,13165,1,2181.5625
375,20210114,20210126,20210121,25093,1,2181.5625
370,20210114,20210126,20210121,13230,1,2443.35
356,20210114,20210126,20210121,26121,1,2071.4196
369,20210114,20210126,20210121,21211,1,2443.35
368,20210114,20210126,20210121,21001,1,2443.35
352,20210115,20210127,20210122,28510,1,2071.4196
377,20210115,20210127,20210122,24824,1,2181.5625
325,20210115,20210127,20210122,15155,1,782.99
323,20210115,20210127,20210122,15193,1,782.99
385,20210115,20210127,20210122,24608,1,1000.4375
354,20210115,20210127,20210122,12574,1,2071.4196
360,20210115,20210127,20210122,12575,1,2049.0982
373,20210116,20210128,20210123,13799,1,2181.5625
385,20210116,20210128,20210123,13990,1,1000.4375
369,20210116,20210128,20210123,24786,1,2443.35
337,20210116,20210128,20210123,19910,1,782.99
369,20210116,20210128,20210123,13066,1,2443.35
352,20210116,20210128,20210123,20188,1,2071.4196
354,20210116,20210128,20210123,12360,1,2071.4196
379,20210116,20210128,20210123,12923,1,2181.5625
371,20210117,20210129,20210124,13768,1,2181.5625
377,20210117,20210129,20210124,13769,1,2181.5625
381,20210117,20210129,20210124,14003,1,1000.4375
375,20210117,20210129,20210124,12922,1,2181.5625
375,20210117,20210129,20210124,24817,1,2181.5625
369,20210117,20210129,20210124,13058,1,2443.35
371,20210117,20210129,20210124,13174,1,2181.5625
321,20210117,20210129,20210124,15166,1,782.99
375,20210117,20210129,20210124,21168,1,2181.5625
358,20210117,20210129,20210124,12343,1,2049.0982
358,20210118,20210130,20210125,11603,1,2049.0982
373,20210118,20210130,20210125,13575,1,2181.5625
371,20210118,20210130,20210125,13793,1,2181.5625
